exon2	Primates	Carnivore	Rodents	Afrotheria	Alligator	Artiyodactyla	Birds	Caniformia	Chiroptera	Reptiles	Perissodactyla	Turtle	Monotremata
exon2	51.67785235	55.40540541	52.34899329	47.65100671	48.68421053	54.36241611	53.28947368	58.38926174	48.32214765	46.71052632	59.06040268	48.68421053	59.21052632
exon2	51.00671141	58.10810811	64.4295302	48.99328859	50	53.69127517	53.94736842	57.04697987	48.32214765	49.34210526	59.73154362	48.68421053	
exon2	51.67785235	57.43243243	66.44295302	47.65100671	52.63157895	55.03355705	53.94736842	56.37583893	53.02013423	46.71052632	60.40268456	50.65789474	
exon2	51.00671141	57.43243243	65.77181208	45.63758389	52.63157895	53.69127517	50.65789474	67.11409396	51.00671141	45.39473684	60.40268456	49.34210526	
exon2	50.33557047	57.43243243	65.77181208	51.00671141	NA	55.03355705	52.63157895	57.71812081	52.34899329	48.68421053	NA	46.05263158	
exon2	50.33557047	56.75675676	67.11409396	NA		53.69127517	53.94736842	57.71812081	51.67785235	46.71052632	NA	50	
exon2	50.33557047	58.10810811	54.36241611	NA		58.38926174	52.63157895	66.44295302	51.67785235	46.71052632	NA		
exon2	50.33557047	58.38926174	48.93617021	NA		58.38926174	52.63157895	56.37583893	53.02013423	47.36842105	NA		
exon2	52.34899329	57.04697987	65.77181208	NA		58.38926174	52.63157895	66.44295302	48.32214765	47.36842105	NA		
exon2	52.34899329	56.37583893	65.77181208	NA		53.02013423	52.63157895	57.71812081	53.02013423	NA		NA	
exon2	50.33557047	67.11409396	67.11409396	NA		51.67785235	53.94736842	65.77181208	51.67785235	NA		NA	
exon2	51.00671141	57.71812081	64.4295302	NA		51.00671141	53.28947368	57.04697987	51.67785235	NA		NA	
exon2	51.00671141	57.71812081	63.75838926	NA		51.00671141	55.26315789	58.38926174	50.33557047	NA		NA	
exon2	51.00671141	66.44295302	49.00662252	NA		51.00671141	53.28947368	63.08724832	NA		NA		
exon2	51.67785235	56.37583893	51.65562914	NA		51.67785235	57.23684211	58.38926174	NA		NA		
exon2	50.33557047	66.44295302	54.36241611	NA		51.67785235	52.63157895	58.38926174	NA		NA		
exon2	55.70469799	57.71812081	66.44295302	NA		52.34899329	58.55263158	58.38926174	NA		NA		
exon2	58.38926174	65.77181208	59.18367347	NA		51.00671141	51.31578947	58.38926174	NA		NA		
exon2	50.33557047	57.04697987	51.67785235	NA		53.69127517	57.89473684	56.37583893	NA		NA		
exon2	50.33557047	58.38926174	48.34437086	NA		51.67785235	53.94736842	57.71812081	NA		NA		
exon2	48.32214765	63.08724832	47.68211921	NA		52.34899329	53.94736842	NA		NA		NA	
exon2	49.66442953	58.38926174	NA		NA	56.37583893	53.94736842	NA		NA		NA	
exon2	50.33557047	58.38926174	NA		NA	52.34899329	55.26315789	NA		NA		NA	
exon2	53.69127517	58.38926174	NA		NA	58.38926174	54.60526316	NA		NA		NA	
exon2	50.33557047	58.38926174	NA		NA		53.28947368	NA		NA		NA	
exon2	51.00671141	56.37583893	NA		NA		51.31578947	NA		NA		NA	
exon2	58.38926174	57.33333333	NA		NA		53.28947368	NA		NA		NA	
exon2	NA		NA		NA		54.60526316	NA		NA		NA	
exon2	NA		NA		NA		54.60526316	NA		NA		NA	
exon2	NA		NA		NA		50.65789474	NA		NA		NA	
exon2	NA		NA		NA		55.26315789	NA		NA		NA	
exon2	NA		NA		NA		55.26315789	NA		NA		NA	
exon2	NA		NA		NA		54.60526316	NA		NA		NA	
exon2	NA		NA		NA		49.34210526	NA		NA		NA	
exon2	NA		NA		NA		51.31578947	NA		NA		NA	
exon2	NA		NA		NA		53.94736842	NA		NA		NA	
exon2	NA		NA		NA		52.63157895	NA		NA		NA	
exon2	NA		NA		NA		53.28947368	NA		NA		NA	
exon2	NA		NA		NA		55.26315789	NA		NA		NA	
exon2	NA		NA		NA		52.63157895	NA		NA		NA	
exon2	NA		NA		NA		50.65789474	NA		NA		NA	
