exon4	Primates	Carnivore	Rodents	Afrotheria	Alligator	Artiyodactyla	Birds	Caniformia	Chiroptera	Reptiles	Perissodactyla	Turtle	Monotremata
exon4	51.07913669	NA	44	49	46.39175258	52	50	44	44	40.20618557	49	52.57731959	65.2173913
exon4	47	NA	57.31707317	50	45.36082474	52	61.8556701	48	45	47.42268041	51	53.60824742	
exon4	46	NA	54.87804878	49	48.45360825	51.54639175	50.51546392	48	46.46464646	44.31818182	52	51.54639175	
exon4	49	NA	65.85365854	44.32989691	45.36082474	52.57731959	46.39175258	50	46	43.18181818	52	55.67010309	
exon4	48	NA	64.63414634	47	NA	52.57731959	49.48453608	47	48	50.51546392	NA	51.54639175	
exon4	49	NA	60.97560976	NA		52.57731959	49.48453608	48	47.47474747	44.31818182	NA	51.54639175	
exon4	49	NA	54	NA		53.39805825	45.36082474	50	47.47474747	46.59090909	NA		
exon4	49	44	51	NA		53.39805825	51.54639175	48	47.47474747	43.18181818	NA		
exon4	51.07913669	48	65.85365854	NA		52.42718447	50.51546392	51	46	47.42268041	NA		
exon4	50	48	64.63414634	NA		51.54639175	50.51546392	49	43.80952381	NA		NA	
exon4	47	50	60.97560976	NA		52	50.51546392	51	45	NA		NA	
exon4	48	47	57.31707317	NA		52	48.45360825	47	45	NA		NA	
exon4	48	48	52.43902439	NA		52	51.54639175	47	45.28301887	NA		NA	
exon4	53.23741007	50	43.15789474	NA		52	49.48453608	56	NA		NA		
exon4	46	48	46.31578947	NA		52	53.40909091	48	NA		NA		
exon4	48	51	54	NA		51	52.57731959	48	NA		NA		
exon4	47	49	54.87804878	NA		52.57731959	54.63917526	48	NA		NA		
exon4	51	51	48.11320755	NA		52	57.73195876	48	NA		NA		
exon4	47	47	44	NA		52.57731959	47.42268041	50.48543689	NA		NA		
exon4	47	47	45.26315789	NA		51	48.45360825	48	NA		NA		
exon4	48	56	41.83673469	NA		53	51.54639175	NA		NA		NA	
exon4	52.51798561	48	NA		NA	64.77272727	50.51546392	NA		NA		NA	
exon4	45	48	NA		NA	52	50.51546392	NA		NA		NA	
exon4	49	48	NA		NA	56	51.54639175	NA		NA		NA	
exon4	48	48	NA		NA		49.48453608	NA		NA		NA	
exon4	46	50.48543689	NA		NA		49.48453608	NA		NA		NA	
exon4	46	48	NA		NA		49.48453608	NA		NA		NA	
exon4	NA		NA		NA		50.51546392	NA		NA		NA	
exon4	NA		NA		NA		53.60824742	NA		NA		NA	
exon4	NA		NA		NA		50.51546392	NA		NA		NA	
exon4	NA		NA		NA		48.45360825	NA		NA		NA	
exon4	NA		NA		NA		48.45360825	NA		NA		NA	
exon4	NA		NA		NA		48.45360825	NA		NA		NA	
exon4	NA		NA		NA		51.54639175	NA		NA		NA	
exon4	NA		NA		NA		49.48453608	NA		NA		NA	
exon4	NA		NA		NA		49.48453608	NA		NA		NA	
exon4	NA		NA		NA		50.51546392	NA		NA		NA	
exon4	NA		NA		NA		49.48453608	NA		NA		NA	
exon4	NA		NA		NA		52.57731959	NA		NA		NA	
exon4	NA		NA		NA		51.54639175	NA		NA		NA	
exon4	NA		NA		NA		49.48453608	NA		NA		NA	
exon4	NA		NA		NA		55.67010309	NA		NA		NA	
exon4	NA		NA		NA		49.48453608	NA		NA		NA	
exon4	NA		NA		NA		49.48453608	NA		NA		NA	
exon4	NA		NA		NA		51.54639175	NA		NA		NA	
exon4	NA		NA		NA		51.54639175	NA		NA		NA	
